release_date,family,model,model_size_class,total_params_B,active_params_B,transformer_layers,moe_layers,dense_ffn_layers,moe_layer_ratio_pct,routed_experts_per_moe_layer,topk_routed_per_moe_layer,shared_experts,active_expert_pct,active_parameter_pct,modelwide_routed_expert_modules,active_routed_expert_calls_per_token,modelwide_shared_expert_modules,layer_schedule_notes,disclosure_status,source_model_card,source_config,layer_source_url
2023-12-11,Mistral,Mixtral 8x7B,Small (<50B),46.7,12.9,32,32,0,100.0,8.0,2.0,0.0,25.0,27.62312633832976,256,64,0,모든 Transformer layer가 MoE,public,,,https://huggingface.co/mistralai/Mixtral-8x7B-v0.1/blob/main/config.json
2024-01-11,DeepSeek,DeepSeekMoE 16B,Small (<50B),16.4,2.8,28,27,1,96.42857142857143,64.0,6.0,2.0,9.375,17.073170731707318,1728,162,54,"첫 1개 layer dense, 이후 MoE",public,,,https://huggingface.co/deepseek-ai/deepseek-moe-16b-base/blob/main/config.json
2024-03-01,Qwen,Qwen1.5-MoE-A2.7B,Small (<50B),14.3,2.7,24,24,0,100.0,60.0,4.0,4.0,6.666666666666667,18.88111888111888,1440,96,96,모든 Transformer layer가 MoE,public,,,https://huggingface.co/Qwen/Qwen1.5-MoE-A2.7B/blob/main/config.json
2024-04-17,Mistral,Mixtral 8x22B,Medium (50–299B),141.0,39.0,56,56,0,100.0,8.0,2.0,0.0,25.0,27.659574468085108,448,112,0,모든 Transformer layer가 MoE,public,,,https://huggingface.co/mistralai/Mixtral-8x22B-v0.1/blob/main/config.json
2024-05-06,DeepSeek,DeepSeek-V2,Medium (50–299B),236.0,21.0,60,59,1,98.33333333333333,160.0,6.0,2.0,3.75,8.898305084745763,9440,354,118,"첫 1개 layer dense, 이후 MoE",public,,,https://huggingface.co/deepseek-ai/DeepSeek-V2/blob/main/config.json
2024-12-26,DeepSeek,DeepSeek-V3 / R1,Large (≥300B),671.0,37.0,61,58,3,95.08196721311475,256.0,8.0,1.0,3.125,5.514157973174367,14848,464,58,"첫 3개 layer dense, 이후 MoE",public,,,https://huggingface.co/deepseek-ai/DeepSeek-V3/blob/main/config.json
2025-04-29,Qwen,Qwen3-235B-A22B,Medium (50–299B),235.0,22.0,94,94,0,100.0,128.0,8.0,0.0,6.25,9.361702127659575,12032,752,0,모든 Transformer layer가 MoE,public,,,https://huggingface.co/Qwen/Qwen3-235B-A22B/blob/main/config.json
2025-04-29,Qwen,Qwen3-30B-A3B,Small (<50B),30.0,3.0,48,48,0,100.0,128.0,8.0,0.0,6.25,10.0,6144,384,0,모든 Transformer layer가 MoE,public,,,https://huggingface.co/Qwen/Qwen3-30B-A3B/blob/main/config.json
2025-07-11,Kimi,Kimi K2,Large (≥300B),1000.0,32.0,61,60,1,98.36065573770492,384.0,8.0,1.0,2.083333333333333,3.2,23040,480,60,"첫 1개 layer dense, 이후 MoE",public,,,https://huggingface.co/moonshotai/Kimi-K2-Instruct/blob/main/config.json
2025-07-22,Qwen,Qwen3-Coder-480B-A35B,Large (≥300B),480.0,35.0,62,62,0,100.0,160.0,8.0,0.0,5.0,7.291666666666667,9920,496,0,모든 Transformer layer가 MoE,public,,,https://huggingface.co/Qwen/Qwen3-Coder-480B-A35B-Instruct/blob/main/config.json
2025-07-28,GLM,GLM-4.5,Large (≥300B),355.0,32.0,92,89,3,96.73913043478261,160.0,8.0,1,5.0,9.014084507042254,14240,712,89,"첫 3개 layer dense, 이후 MoE",public,,,https://huggingface.co/zai-org/GLM-4.5/blob/main/config.json
2025-07-28,GLM,GLM-4.5-Air,Medium (50–299B),106.0,12.0,46,45,1,97.82608695652173,128.0,8.0,1.0,6.25,11.320754716981133,5760,360,45,"첫 1개 layer dense, 이후 MoE",public,,,https://huggingface.co/zai-org/GLM-4.5-Air/blob/main/config.json
2025-08-05,OpenAI,gpt-oss-120b,Medium (50–299B),116.8,5.1,36,36,0,100.0,128.0,4.0,0.0,3.125,4.366438356164384,4608,144,0,모든 Transformer layer가 MoE,public,,,https://huggingface.co/openai/gpt-oss-120b/blob/main/config.json
2025-08-05,OpenAI,gpt-oss-20b,Small (<50B),20.9,3.6,24,24,0,100.0,32.0,4.0,0.0,12.5,17.22488038277512,768,96,0,모든 Transformer layer가 MoE,public,,,https://huggingface.co/openai/gpt-oss-20b/blob/main/config.json
2025-09-12,Qwen,Qwen3-Next-80B-A3B,Medium (50–299B),80.0,3.0,48,48,0,100.0,512.0,10.0,1.0,1.953125,3.75,24576,480,48,모든 Transformer layer가 MoE,public,,,https://huggingface.co/Qwen/Qwen3-Next-80B-A3B-Instruct/blob/main/config.json
2025-10-27,MiniMax,MiniMax M2,Medium (50–299B),229.9,9.8,62,62,0,100.0,256.0,8.0,0.0,3.125,4.2627229230100045,15872,496,0,모든 text Transformer layer가 MoE,official open weights/config,https://huggingface.co/MiniMaxAI/MiniMax-M2,https://huggingface.co/MiniMaxAI/MiniMax-M2/blob/main/config.json,https://huggingface.co/MiniMaxAI/MiniMax-M2/blob/main/config.json
